Observer: RMA
     lat: 50:50:38.5
     lon: 4:23:34.5
    date: 2016/01/08  cutoff:  0

      |#Vis|  GSAT0101 (  GSAT0102 (  GSAT0103 (  GSAT0104 (  GSAT0201 (  GSAT0202 (  GSAT0203 (  GSAT0204 (  GSAT 0205   GSAT 0206 
                PRN E11)    PRN E12)    PRN E19)    PRN E20)    PRN E18)    PRN E14)    PRN E26)    PRN E22)   (PRN E24)   (PRN E30)

00:00 |  4 |  ---- -----  38.3 205.4  ---- -----  ---- -----  22.8 230.0  ---- -----  28.3  50.8  ---- -----  53.8 302.1  ---- -----
00:20 |  5 |   2.4 220.8  46.1 208.5  ---- -----  ---- -----  33.8 232.5  ---- -----  21.9  50.5  ---- -----  60.3 296.9  ---- -----
00:40 |  5 |   8.7 223.9  54.0 211.9  ---- -----  ---- -----  45.8 235.0  ---- -----  15.6  51.3  ---- -----  65.9 286.3  ---- -----
01:00 |  5 |  15.1 227.5  61.8 215.6  ---- -----  ---- -----  58.6 236.9  ---- -----   9.4  52.9  ---- -----  69.3 268.4  ---- -----
01:20 |  6 |  21.6 231.6  69.6 219.8  ---- -----   2.0  83.1  71.7 236.8  ---- -----   3.4  55.3  ---- -----  69.2 246.1  ---- -----
01:40 |  5 |  28.2 236.1  77.3 224.4  ---- -----   6.7  78.1  84.3 218.9  ---- -----  ---- -----  ---- -----  65.3 227.7  ---- -----
02:00 |  6 |  34.8 241.0  84.9 230.6   1.8 114.0  11.1  72.6  81.8  95.5  ---- -----  ---- -----  ---- -----  59.1 216.0  ---- -----
02:20 |  6 |  41.3 246.5  87.6  46.1   7.5 109.9  14.7  66.6  70.7  87.2  ---- -----  ---- -----  ---- -----  51.7 209.1  ---- -----
02:40 |  6 |  47.9 252.4  80.3  55.7  13.2 105.3  17.3  60.1  60.4  88.5  ---- -----  ---- -----  ---- -----  43.8 205.1  ---- -----
03:00 |  6 |  54.4 258.9  73.3  61.4  18.7 100.3  18.8  53.3  51.2  91.6  ---- -----  ---- -----  ---- -----  35.8 202.5  ---- -----
03:20 |  6 |  60.9 266.2  66.4  66.9  23.7  94.4  18.8  46.4  43.0  95.2  ---- -----  ---- -----  ---- -----  27.9 200.7  ---- -----
03:40 |  6 |  67.3 274.9  59.7  72.4  28.0  87.7  17.6  39.9  35.7  99.1  ---- -----  ---- -----  ---- -----  20.1 199.3  ---- -----
04:00 |  6 |  73.7 286.2  53.2  77.8  31.1  80.1  15.0  34.1  29.2 103.1  ---- -----  ---- -----  ---- -----  12.6 198.0  ---- -----
04:20 |  7 |  79.6 304.5  46.9  83.3  32.7  72.0  11.4  29.2  23.3 107.1  ---- -----  ---- -----  ---- -----   5.5 196.5   2.5 344.8
